Band,MJD,Flux,Error,Telescope
W2,58554.89011,6.2006884,0.087261244,UVOT
V,58554.89149,1.30498995,0.037960922,UVOT
M2,58554.89265,5.2037306,0.08864789,UVOT
U,58555.75091,2.7876634,0.064613743,UVOT
B,58555.75145,1.5943466,0.038693156,UVOT
W2,58555.75273,6.109168,0.08852444,UVOT
HX,58555.75278,1.25545,0.095067,XRT
SX,58555.75278,0.555948,0.063946,XRT
V,58555.754,1.2993562,0.03956771,UVOT
W1,58556.09701,4.127818,0.07046422,UVOT
U,58556.09793,2.8380972,0.06073788,UVOT
B,58556.09857,1.6976824,0.03699992,UVOT
W2,58556.1001,6.1501165,0.08442992,UVOT
HX,58556.10012,1.41294,0.098831,XRT
SX,58556.10012,0.655582,0.067429,XRT
V,58556.10162,1.24694515,0.035635854,UVOT
M2,58556.10294,5.2213398,0.08497147,UVOT
W1,58557.95469,4.1854158,0.07837397,UVOT
U,58557.95541,2.8726658,0.06840128,UVOT
B,58557.95591,1.5852044,0.039438841,UVOT
W2,58557.95711,6.238008,0.09225339,UVOT
HX,58557.95716,1.110055,0.081492,XRT
SX,58557.95716,0.70179,0.064723,XRT
V,58557.95828,1.21854355,0.038985133,UVOT
M2,58557.95936,5.2733114,0.09114961,UVOT
B,58559.73662,1.4982688,0.039651918,UVOT
HX,58559.73786,0.872557,0.062831,XRT
SX,58559.73786,0.464976,0.045833,XRT
V,58559.73876,1.2559175,0.041807887,UVOT
B,58560.7318,1.5526437,0.0345887,UVOT
HX,58560.73339,1.142682,0.073568,XRT
SX,58560.73339,0.524974,0.049923,XRT
V,58560.73492,1.1864746,0.033844853,UVOT
U,58561.60264,2.7660113,0.061427655,UVOT
B,58561.60324,1.5755313,0.036655353,UVOT
HX,58561.60463,0.967354,0.055961,XRT
SX,58561.60463,0.545518,0.041879,XRT
V,58561.60605,1.2566409,0.037087568,UVOT
B,58562.79267,1.6236744,0.04000684,UVOT
W2,58562.79389,6.2608223,0.09170806,UVOT
HX,58562.79391,0.883853,0.061237,XRT
SX,58562.79391,0.458969,0.044025,XRT
