Band,MJD,Flux,Error,Telescope
V,58458.48305,1.0111124,0.030166358,UVOT
M2,58458.48393,2.9692276,0.069869096,UVOT
W1,58459.46762,2.6512868,0.051248257,UVOT
U,58459.4685,1.9523577,0.043591976,UVOT
B,58459.4691,1.1865952,0.02799201,UVOT
HX,58459.47053,0.605009,0.045051,XRT
SX,58459.47053,0.342005,0.033873,XRT
W2,58459.47056,3.348339,0.052774594,UVOT
V,58459.47199,0.95235455,0.029669102,UVOT
M2,58459.47319,2.9449157,0.05791184,UVOT
W1,58460.33555,2.4862467,0.048935206,UVOT
U,58460.33643,1.9573554,0.043631398,UVOT
B,58460.33703,1.1422201,0.027134528,UVOT
W2,58460.33848,3.2195648,0.051325204,UVOT
HX,58460.33853,0.804024,0.087059,XRT
SX,58460.33853,0.425517,0.063372,XRT
V,58460.33991,0.9487945,0.029647381,UVOT
M2,58460.34118,2.9744236,0.05678088,UVOT
W1,58461.86198,2.6243791,0.052827206,UVOT
U,58461.86278,1.9160073,0.04469466,UVOT
B,58461.86334,1.14593554,0.028454404,UVOT
